Grapheme	IPA	Frequency
^	NULL	112
k	k	37
â	â/a	7
n	n	22
$	NULL	112
th	tʰ	5
òw	òw/ou	2
s	s	14
ɛ̰̂ː	ɛ̰̂ː	2
a	a	49
t	t	26
u	u	5
b	b	7
ûː	ûː/uː	7
ɔ̂ː	ɔ̂ː/ɔː	6
ŋ	ŋ	20
kh	kʰ	7
ɔ́	ɔ́/ɔ	4
h	h	20
l	l	18
û	û/u	4
Ɂ	ʔ	26
í	í/i	5
c	c	7
j	j	12
â̰ː	â̰ː/aː	6
â̰	â̰/a	3
ɲ	ɲ	6
m	m	19
ṵ̂ː	ṵ̂ː/uː	5
ôː	ôː/o:	4
ə	ə	1
ə́	ə́/ə	1
p	p	5
ph	pʰ	3
ɛ̂ː	ɛ̂ː/ɛ	3
ʌ̰̂ː	ʌ̰̂ː/ʌː	4
ɔ̰̂ː	ɔ̰̂ː/ɔː	6
âː	âː/a:	4
á	á/a	5
tʰ	tʰ	1
ɨ̰̂ː	ɨ̰̂ː/ɨː	1
ɛ̂	ɛ̂/ɛ	1
îː	îː/iː	6
d	d	5
w	w	1
ú	ú/u	3
à	à/a	1
ɔ̀ː	ɔ̀ː/ɔː	3
ʌ̀ː	ʌ̀ː/ʌː	1
ɨ̂ː	ɨ̂ː/ɨ:	4
aː	aː	2
ɛ́	ɛ́/ɛ	3
ɔ̂	ɔ̂/ɔ	2
âw	âw/au	1
ɔ	ɔ	1
ḭ̂ː	ḭ̂ː/ḭː	1
ɨ̂	ɨ̂/ɨ	1
ʔ	ʔ	1
ə̰̂ː	ə̰̂ː/ə̰ː	1
ʌ̀	ʌ̀/ʌ	1
ʌ̂ː	ʌ̂ː/ʌː	1
ṵ̂	ṵ̂/ṵ	1
